utilization.gpu [%], memory.used [MiB], name, pstate
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
0 %, 1 MiB, NVIDIA RTX 6000 Ada Generation, P8
